Distance,POI (%),Min
Terminal: NJ/GA,,
0 - 50,9.5,$142
50 - 100,9.5,$162
100 - 150,10,$182
150 - 200,10,$225
200 - 250,10.5,$280
250 - 300,10.5,$335
300 – 350,10.5,$385
"Terminal: Lexington, NC",,
0 - 50 Miles,9.5,$142
50 - 100,9.5,$162
100 - 150,10,$182
150 - 200,10,$235
200 - 250,10.5,$275
250 - 300,10.5,$325
"Terminal: Syracuse, NY",,
0 - 50,11,$229
50 - 100,11.5,$259
100-150,12,$289
150-200,13,$349
200-250,14,$399
"Terminal: Millis, MA",,
0 - 75,10,$184
75 - 100,10.5,$219
100-150,11,$239
150-200,11.5,$279
Manchester [NH],10.5,$204
"Terminal: Millis, MA",,
0-75,10,$184
75-100,10.5,$219
100-150,10.5,$239
150-200,11,$279
"Terminal: Orlando, FL",,
0 - 50,10,$149
50 - 100,11,$189
100-150,12,$229
150-200,12.5,$269
200-250,14,$299
250-300,15.5,$329
Tampa,10,$160
Sarasota,11,$179
Vero beach,11,$179
Jacksonville,11,$179
Tallahassee,14,$275
Pensacola,14,$325
Naples,10.5,$199
"Terminal: Fredriskberg, VA",,
DC Metro,10,$189
Baltimore,10,$189
Richmond,10.5,$189
0 - 50,10,$189
50 - 100,11,$229
100-150,12,$269
150-200,12.5,$299
200-250,14,$329
"Terminal: Bedford Heights, OH",,
Pittsburgh,10.5,$189
Detroit,10.5,$189
Columbus,10.5,$189
Cincinnati,10.5,$189
0 - 50,10,$179
50 - 100,11,$219
100-150,12,$259
150-200,12.5,$289
200-250,14,$319
Terminal: SoCal/NorCal,,
0 - 60,9.5,$149
60-100,10,$180
100-150,10.5,$219
150-200,11,$239
200+,13.5,$329
"Terminal: Houston, TX",,
0 - 50,9,$145
50-100,9.5,$178
100-150,10,$215
150-200,10.5,$245
200-250,10.5,$265
250-300,10.5,$295
Remote Area,12,$425
Austin (0-50),10,$154
San Antonio (0-50),10,$154
DFW (0-50),10,$154
"Terminal: LA Rates (miles from Houston, TX)",,
0-250,11.5,$229
250+,11.5,$243
Baton Rouge,11.5,$209
"Terminal: Lacey, WA",,
0 - 50,12.5,$202
50 – 100,13,$229
100 - 150,13.5,$270
150 - 200,14,$320
200 - 250,14.5,$345
250+,15,$415
Portland,12.5,$215
Spokane,14,$299
"Salem, OR",14,$294
"Eugene, OR",14,$319
"Terminal: Salt Lake, UT",,
0 - 50,10,$195
50 - 100,10.5,$235
100 - 150,11.5,$265
150 - 200,12,$285
200 - 250,12.5,$305
250-300,13,$345
300-350,13.5,$375
St. George,12,$325
Terminal: Idaho,,
Bannock County,12,$195
Binham County,12,$225
Blaine County,12.5,$235
Twin Falls County,12.5,$235
Ada County,13,$245
Canyon County,13,$245
"Terminal: Tupelo, MS",,
0 - 50,10,$189
50 - 150,11,$225
150 - 200,11.5,$250
200 - 250,12,$275
250-300,12.5,$325
Birmingham metro,10,$210
Memphis Metro,11,$210
Nashville metro,11,$220
Mobile Metro,12,$255
Little Rock metro,11.5,$255
Knoxville Metro,12,$275
Remote area,13.5,$399
"Terminal: Arlington Height, IL",,
0 - 50,10,$149
50 - 100,10.5,$189
100-150,11,$239
150-200,11.5,$259
"Terminal: Kensas City, KS",,
0 - 50,10,$189
50 - 100,11,$219
100-150,12,$269
150-200,12.5,$289
"Terminal: Denver, CO",,
0 - 50,10,$169
50 - 100,11,$209
100-150,12,$249
150-200,12.5,$279
